    Information technology technicians,"32,086"
      IT operations technicians,"32,807"
      IT user support technicians,"31,477"
  Health and social care associate professionals,"22,382"
    Health associate professionals,"26,817"
      Paramedics,"34,497"
      Dispensing opticians,"23,555"
      Pharmaceutical technicians,"21,115"
      Medical and dental technicians,"26,187"
      Health associate professionals n.e.c.,"21,114"
    Welfare and housing associate professionals,"20,876"
      Youth and community workers,"20,456"
      Child and early years officers,"20,555"
      Housing officers,"24,744"
      Counsellors,"18,385"
      Welfare and housing associate professionals n.e.c.,"19,898"
  Protective service occupations,"36,780"
    Protective service occupations,"36,780"
      NCOs and other ranks,
      Police officers (sergeant and below),"40,552"
      Fire service officers (watch manager and below),"29,582"
      Prison service officers (below principal officer),"27,488"
      Police community support officers,"28,860"
      Protective service associate professionals n.e.c.,"32,218"
"  Culture, media and sports occupations",x
"    Artistic, literary and media occupations","31,079"
      Artists,"26,246"
"      Authors, writers and translators","29,497"
"      Actors, entertainers and presenters",x
      Dancers and choreographers,x
      Musicians,"23,059"
"      Arts officers, producers and directors","40,300"
"      Photographers, audio-visual and broadcasting equipment operators","28,525"
    Design occupations,"28,558"
      Graphic designers,"26,540"
"      Product, clothing and related designers","31,474"
    Sports and fitness occupations,x
      Sports players,x
"      Sports coaches, instructors and officials","12,766"
      Fitness instructors,"10,031"
  Business and public service associate professionals,"40,262"
    Transport associate professionals,"74,451"
      Air traffic controllers,"94,715"
      Aircraft pilots and flight engineers,"77,841"
      Ship and hovercraft officers,"44,858"
    Legal associate professionals,"32,756"
      Legal associate professionals,"32,756"
"    Business, finance and related associate professionals","41,435"
"      Estimators, valuers and assessors","32,465"
      Brokers,x
      Insurance underwriters,"42,456"
      Finance and investment analysts and advisers,"48,237"
      Taxation experts,"50,214"
      Importers and exporters,"24,403"
      Financial and accounting technicians,"40,180"
      Financial accounts managers,"45,736"
      Business and related associate professionals n.e.c.,"28,427"
"    Sales, marketing and related associate professionals","43,404"
      Buyers and procurement officers,"32,537"
      Business sales executives,"36,466"
      Marketing associate professionals,"33,173"
      Estate agents and auctioneers,"23,733"
      Sales accounts and business development managers,"52,209"
      Conference and exhibition managers and organisers,"24,442"
    Conservation and environmental associate professionals,"22,639"
      Conservation and environmental associate professionals,"22,639"
    Public services and other associate professionals,"30,872"
      Public services associate professionals,"34,018"
      Human resources and industrial relations officers,"30,627"
      Vocational and industrial trainers and instructors,"27,690"
      Careers advisers and vocational guidance specialists,"23,915"
      Inspectors of standards and regulations,"31,569"
      Health and safety officers,"36,393"
Administrative and secretarial occupations,"20,222"
  Administrative occupations,"21,080"
    Administrative occupations: Government and related organisations,"23,667"
      National government administrative occupations,"24,410"
      Local government administrative occupations,"22,688"
      Officers of non-governmental organisations,"19,214"
    Administrative occupations: Finance,"21,387"
      Credit controllers,"22,241"
"      Book-keepers, payroll managers and wages clerks","21,649"
      Bank and post office clerks,"20,642"
      Finance officers,"26,748"
      Financial administrative occupations n.e.c.,"20,148"
    Administrative occupations: Records,"20,724"
      Records clerks and assistants,"20,102"
      Pensions and insurance clerks and assistants,"22,200"
      Stock control clerks and assistants,"21,576"
      Transport and distribution clerks and assistants,"25,230"
      Library clerks and assistants,"12,825"
      Human resources administrative occupations,"17,522"
    Other administrative occupations,"18,476"
      Sales administrators,"20,940"
      Other administrative occupations n.e.c.,"18,295"
    Administrative occupations: Office managers and supervisors,"30,368"
      Office managers,"31,123"
      Office supervisors,"26,110"
  Secretarial and related occupations,"16,919"
    Secretarial and related occupations,"16,919"
      Medical secretaries,"17,714"
      Legal secretaries,"19,891"
      School secretaries,"16,290"
      Company secretaries,"16,835"
      Personal assistants and other secretaries,"19,912"
      Receptionists,"13,607"
      Typists and related keyboard occupations,"19,082"
Skilled trades occupations,"27,452"
  Skilled agricultural and related trades,"20,367"
    Agricultural and related trades,"20,367"
      Farmers,"25,976"
      Horticultural trades,"17,090"
      Gardeners and landscape gardeners,"19,428"
      Groundsmen and greenkeepers,"20,495"
      Agricultural and fishing trades n.e.c.,"22,480"
"  Skilled metal, electrical and electronic trades","31,809"
"    Metal forming, welding and related trades","29,001"
      Smiths and forge workers,
"      Moulders, core makers and die casters","24,028"
      Sheet metal workers,"28,402"
"      Metal plate workers, and riveters","30,379"
      Welding trades,"28,585"
      Pipe fitters,"39,318"
"    Metal machining, fitting and instrument making trades","32,178"
      Metal machining setters and setter-operators,"28,566"
"      Tool makers, tool fitters and markers-out","31,494"
      Metal working production and maintenance fitters,"32,988"
      Precision instrument makers and repairers,x
      Air-conditioning and refrigeration engineers,"34,372"
    Vehicle trades,"28,709"
"      Vehicle technicians, mechanics and electricians","27,951"
      Vehicle body builders and repairers ,"27,304"
      Vehicle paint technicians,"25,728"
      Aircraft maintenance and related trades,"40,591"
      Boat and ship builders and repairers,"32,240"
      Rail and rolling stock builders and repairers,"43,290"
    Electrical and electronic trades,"32,922"
      Electricians and electrical fitters,"32,241"
      Telecommunications engineers,"35,178"
"      TV, video and audio engineers","31,730"
      IT engineers,"29,960"
      Electrical and electronic trades n.e.c.,"33,815"
"    Skilled metal, electrical and electronic trades supervisors","38,357"
"      Skilled metal, electrical and electronic trades supervisors","38,357"
  Skilled construction and building trades,"28,114"
    Construction and building trades,"26,978"
      Steel erectors,"26,713"
      Bricklayers and masons,"24,807"
"      Roofers, roof tilers and slaters","24,901"
      Plumbers and heating and ventilating engineers,"30,432"
      Carpenters and joiners,"27,587"
"      Glaziers, window fabricators and fitters","21,492"
      Construction and building trades n.e.c.,"25,498"
    Building finishing trades,"25,378"
      Plasterers,"25,534"
      Floorers and wall tilers,"27,022"
      Painters and decorators,"24,669"
    Construction and building trades supervisors,"37,249"
      Construction and building trades supervisors,"37,249"
"  Textiles, printing and other skilled trades","19,168"
    Textiles and garments trades,"21,181"
      Weavers and knitters,"22,504"
      Upholsterers,"22,908"
      Footwear and leather working trades,"20,822"
      Tailors and dressmakers,x
"      Textiles, garments and related trades n.e.c.","23,663"
    Printing trades,"23,623"
      Pre-press technicians,"24,496"
      Printers,"25,423"
      Print finishing and binding workers,"21,276"
    Food preparation and hospitality trades,"18,309"
      Butchers,"21,351"
      Bakers and flour confectioners,"19,460"
      Fishmongers and poultry dressers,x
      Chefs,"19,319"
      Cooks,"12,210"
      Catering and bar managers,"19,346"
    Other skilled trades,"22,268"
"      Glass and ceramics makers, decorators and finishers","21,155"
      Furniture makers and other craft woodworkers,"22,927"
      Florists,"11,356"
      Other skilled trades n.e.c.,"26,219"
"Caring, leisure and other service occupations","14,686"
  Caring personal service occupations,"14,450"
    Childcare and related personal services,"12,617"
      Nursery nurses and assistants,"13,123"
      Childminders and related occupations,"15,563"
      Playworkers,"7,237"
      Teaching assistants,"12,926"
      Educational support assistants,"12,280"
    Animal care and control services,"16,909"
      Veterinary nurses,"17,880"
      Pest control officers,"22,493"
      Animal care services occupations n.e.c.,"15,812"
    Caring personal services,"15,464"
      Nursing auxiliaries and assistants,"16,747"
      Ambulance staff (excluding paramedics),"21,789"
      Dental nurses,"15,130"
      Houseparents and residential wardens,"20,716"
      Care workers and home carers,"14,258"
      Senior care workers,"18,026"
      Care escorts,"8,677"
"      Undertakers, mortuary and crematorium assistants","18,684"
"  Leisure, travel and related personal service occupations","15,912"
    Leisure and travel services,"18,369"
      Sports and leisure assistants,"12,169"
      Travel agents,"19,168"
      Air travel assistants,"17,927"
      Rail travel assistants,"35,132"
      Leisure and travel service occupations n.e.c.,"8,727"
    Hairdressers and related services,"11,876"
      Hairdressers and barbers,"11,570"
      Beauticians and related occupations,"12,488"
    Housekeeping and related services,"16,087"
      Housekeepers and related occupations,"13,792"
      Caretakers,"17,270"
    Cleaning and housekeeping managers and supervisors,"15,616"
      Cleaning and housekeeping managers and supervisors,"15,616"
Sales and customer service occupations,"15,080"
  Sales occupations,"13,368"
    Sales assistants and retail cashiers,"12,467"
      Sales and retail assistants,"12,434"
      Retail cashiers and check-out operators,"10,580"
      Telephone salespersons,"20,201"
      Pharmacy and other dispensing assistants,"12,698"
      Vehicle and parts salespersons and advisers,"26,504"
    Sales related occupations,"19,816"
      Collector salespersons and credit agents,"15,073"
"      Debt, rent and other cash collectors","19,077"
      Roundspersons and van salespersons,"21,757"
      Market and street traders and assistants,x
      Merchandisers and window dressers,"18,531"
      Sales related occupations n.e.c.,"21,221"
    Sales supervisors,"21,618"
      Sales supervisors,"21,618"
  Customer service occupations,"19,928"
    Customer service occupations,"17,960"
      Call and contact centre occupations,"17,642"
      Telephonists,"15,728"
      Communication operators,"25,636"
      Market research interviewers,"9,561"
      Customer service occupations n.e.c.,"17,894"
    Customer service managers and supervisors,"29,161"
      Customer service managers and supervisors,"29,161"
"Process, plant and machine operatives","24,975"
"  Process, plant and machine operatives","24,265"
    Process operatives,"22,571"
"      Food, drink and tobacco process operatives","20,046"
      Glass and ceramics process operatives,"22,181"
      Textile process operatives,"22,486"
      Chemical and related process operatives,"31,164"
      Rubber process operatives,"27,051"
      Plastics process operatives,"24,313"
      Metal making and treating process operatives,"27,459"
      Electroplaters,"23,948"
      Process operatives n.e.c.,"25,543"
    Plant and machine operatives,"25,060"
      Paper and wood machine operatives,"22,574"
      Coal mine operatives,
      Quarry workers and related operatives,"34,204"
      Energy plant operatives,"30,075"
      Metal working machine operatives,"23,540"
      Water and sewerage plant operatives,"30,707"
      Printing machine assistants,"23,109"
      Plant and machine operatives n.e.c.,"24,680"
    Assemblers and routine operatives,"24,663"
      Assemblers (electrical and electronic products),"23,010"
      Assemblers (vehicles and metal goods),"33,785"
      Routine inspectors and testers,"26,858"
"      Weighers, graders and sorters","20,449"
"      Tyre, exhaust and windscreen fitters","21,091"
      Sewing machinists,"15,969"
      Assemblers and routine operatives n.e.c.,"21,446"
    Construction operatives,"25,629"
"      Scaffolders, stagers and riggers","35,163"
      Road construction operatives,"29,881"
      Rail construction and maintenance operatives,"29,756"
      Construction operatives n.e.c.,"22,824"
  Transport and mobile machine drivers and operatives,"25,633"
    Road transport drivers,"23,935"
      Large goods vehicle drivers,"28,977"
      Van drivers,"20,546"
      Bus and coach drivers,"24,270"
      Taxi and cab drivers and chauffeurs,"18,670"
      Driving instructors,"24,180"
    Mobile machine drivers and operatives,"28,580"
      Crane drivers,"40,387"
      Fork-lift truck drivers,"23,828"
      Agricultural machinery drivers,"23,608"
      Mobile machine drivers and operatives n.e.c.,"29,745"
    Other drivers and transport operatives,"42,217"
      Train and tram drivers,"53,114"
      Marine and waterways transport operatives,"40,054"
      Air transport operatives,"24,208"
      Rail transport operatives,"31,755"
      Other drivers and transport operatives n.e.c.,"26,400"
Elementary occupations,"14,688"
  Elementary trades and related occupations,"20,369"
    Elementary agricultural occupations,"18,574"
      Farm workers,"18,948"
      Forestry workers,"20,980"
      Fishing and other elementary agriculture occupations n.e.c.,"17,337"
    Elementary construction occupations,"22,268"
      Elementary construction occupations,"22,268"
    Elementary process plant occupations,"20,159"
      Industrial cleaning process occupations,"18,004"
"      Packers, bottlers, canners and fillers","18,840"
      Elementary process plant occupations n.e.c.,"21,503"
  Elementary administration and service occupations,"13,865"
    Elementary administration occupations,"22,277"
"      Postal workers, mail sorters, messengers and couriers","23,769"
      Elementary administration occupations n.e.c.,x
    Elementary cleaning occupations,"9,948"
      Window cleaners,"18,455"
      Street cleaners,"18,007"
      Cleaners and domestics,"9,096"
"      Launderers, dry cleaners and pressers","12,947"
      Refuse and salvage occupations,"20,332"
      Vehicle valeters and cleaners,"15,620"
      Elementary cleaning occupations n.e.c.,"20,312"
    Elementary security occupations,"13,647"
      Security guards and related occupations,"22,226"
      Parking and civil enforcement occupations,"17,138"
      School midday and crossing patrol occupations,"3,383"
      Elementary security occupations n.e.c.,"16,643"
    Elementary sales occupations,"11,893"
      Shelf fillers,"11,783"
      Elementary sales occupations n.e.c.,"13,214"
    Elementary storage occupations,"21,221"
      Elementary storage occupations,"21,221"
    Other elementary services occupations,"9,595"
      Hospital porters,"17,784"
      Kitchen and catering assistants,"10,332"
      Waiters and waitresses,"8,201"
      Bar staff,"8,378"
      Leisure and theme park attendants,"5,978"
      Other elementary services occupations n.e.c.,"12,178"
